Pressure,Flow_Rate,Leakage_Flag
64.96714153011233,73.64360476965945,0
58.61735698828815,73.19878837424218,0
66.47688538100692,53.06535241054978,0
75.23029856408026,75.04864712447844,0
57.65846625276664,90.99243622732618,0
57.6586304305082,60.88651821384808,0
75.79212815507391,95.72723976575888,0
67.67434729152909,87.31662231626507,0
55.30525614065048,68.98650017043443,0
65.42560043585965,77.87705543993229,0
55.365823071875376,103.9748271146155,0
55.34270246429743,91.003217202588,0
62.41962271566034,80.13175482347222,0
40.86719755342202,76.43475024558524,0
42.75082167486967,81.14913605677489,0
54.37712470759027,72.32354663086545,0
49.87168879665576,48.42875741421478,0
63.142473325952736,110.63266865802096,0
50.91975924478789,82.32987498799102,0
45.87696298664709,85.97220897683806,0
74.65648768921554,79.13138375184637,0
57.74223699513465,68.97324798913118,0
60.67528204687924,77.21113278576844,0
45.75251813786544,56.00907856708533,0
54.556172754748175,114.15629747079956,0
61.10922589709866,61.48232002366406,0
48.490064225776976,64.5205057422923,0
63.75698018345672,73.39611193420399,0
53.99361310081195,99.32113587278566,0
57.08306250206724,80.2176349889398,0
53.98293387770603,61.45796305954306,0
78.52278184508938,98.81507541136008,0
59.86502775262066,90.96500940178224,0
49.422890710441,88.07652435824679,0
68.22544912103189,90.7360136175626,0
47.791563500289776,115.91542850873677,1
62.08863595004755,112.77642342554168,0
40.40329876120224,69.69926985495057,0
46.71813951101569,104.35827489216727,1
61.96861235869123,85.7475228463835,0
67.3846657999541,87.48643724206624,0
61.7136828118997,54.61593752535007,0
58.8435171761176,77.44421351917705,0
56.98896304410711,67.80764614495152,0
45.214780096325725,92.42088222339964,1
52.801557916052914,96.06620750604208,1
55.393612290402125,48.88270473475533,0
70.57122226218915,79.66947703993594,0
63.43618289568462,96.82792257191376,0
42.36959844637266,77.19981556529832,0
63.24083969394795,90.93595467503546,0
56.14917719583684,85.26748201440626,0
53.23077999694041,85.1249034792894,0
66.11676288840867,75.93027532897554,0
70.30999522495951,61.75128793796436,0
69.31280119116198,63.17704778862459,0
51.607824767773614,90.64028771682976,1
56.907876241487855,80.29187383278325,0
63.31263431403564,77.92231633089163,0
69.75545127122359,73.64164936516471,0
55.2082576215471,75.42216731778872,0
58.14341023336183,95.7036769173221,0
48.93665025993972,74.9713387719796,0
48.037933759193294,59.88402930047647,0
68.12525822394198,91.1547766331026,0
73.56240028570824,76.92685004202924,0
59.27989878419666,80.47093798299164,0
70.03532897892023,104.11367459599263,0
63.61636025047634,79.6915916397424,0
53.54880245394876,84.33775509678088,0
63.61395605508414,62.31614763052512,0
75.38036566465969,76.7049582147356,0
59.64173960890049,89.14289067812902,0
75.64643655814007,56.669393992381366,0
33.80254895910255,83.01267639673564,0
68.21902504375224,81.5118660896721,0
60.87047068238172,80.6193118338116,0
57.009926495341325,95.55738347987364,0
60.91760776535502,85.01657772272782,0
40.12431085399108,102.17107847534666,1
57.80328112162488,65.09615726608946,0
63.57112571511746,82.03886850827521,0
74.77894044741517,81.26700179584921,0
54.81729781726352,63.9611825936738,0
51.91506397106812,94.3444250313702,1
54.98242956415464,114.87009958779228,0
69.15402117702074,79.74490888274254,0
63.287511096596845,87.57531632410651,0
54.70239796232961,81.26777713722991,0
65.13267433113356,69.29622995139236,0
60.9707754934804,52.68859583296975,0
69.68644990532889,69.41339775356953,0
52.97946906122648,59.120624285724034,0
56.72337853402232,105.56153117088677,0
56.07891846867842,78.27335459115142,0
45.364850518678814,74.81121006429244,0
62.96120277064576,93.33730737181708,0
62.610552721798896,63.17373345716168,0
60.05113456642461,68.49703942993172,0
57.65412866624853,81.02108403872931,0
45.84629257949586,95.4315348713522,1
55.79354677234641,87.52527567753182,0
